"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data1",115717.7873,30,35,0,0.8783,0.0237,0.3891,0.5927,-26210.5519,-26438.6467,13254.3233,0.9871,0.9983,0.9724,0.9714,0.8818,"last known convergence"
"data10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data11",114320.0501,30,35,0,0.873,0.0271,0.3792,0.5861,-19709.0408,-19937.1355,10003.5678,0.9854,0.9982,0.9673,0.9661,0.8547,"last known convergence"
"data12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data18",114854.7799,30,35,0,0.875,0.0269,0.3783,0.5856,-20096.1942,-20324.289,10197.1445,0.9857,0.9977,0.9692,0.968,0.8631,"last known convergence"
"data19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data22",97552.2828,29,36,0,0.8202,0.0229,0.4553,0.649,-38139.4897,-38374.1014,19223.0507,0.9995,0.9984,0.9682,0.967,0.8615,"last known convergence"
"data23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data3",116102.3485,30,35,0,0.8798,0.0267,0.3747,0.5831,-20231.3899,-20459.4846,10264.7423,0.985,0.9979,0.9683,0.9672,0.8708,"last known convergence"
"data30",114915.5946,30,35,0,0.8752,0.0258,0.3825,0.5884,-22058.965,-22287.0597,11178.5299,0.986,0.9983,0.9688,0.9677,0.8642,"last known convergence"
"data31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data35",115192.1984,30,35,0,0.8763,0.0285,0.3705,0.5803,-17098.1535,-17326.2483,8698.1241,0.9838,0.9979,0.9653,0.964,0.8546,"last known convergence"
"data36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data37",114839.277,30,35,0,0.875,0.0283,0.3728,0.5818,-17591.6634,-17819.7581,8944.8791,0.9839,0.9979,0.9664,0.9652,0.8545,"last known convergence"
"data38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data4",113280.3078,30,35,0,0.869,0.0277,0.38,0.5867,-18590.6984,-18818.7931,9444.3966,0.9849,0.9982,0.9661,0.9649,0.852,"last known convergence"
"data40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data41",73653.9841,28,37,0,0.7253,0.0209,0.5777,0.7372,-64379.4512,-64620.5799,32347.29,0.9995,0.9983,0.9704,0.9998,0.8681,"last known convergence"
"data42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data43",113650.4645,30,35,0,0.8704,0.0293,0.373,0.582,-16031.3958,-16259.4905,8164.7453,0.9836,0.9981,0.964,0.9626,0.8417,"last known convergence"
"data44",114539.3669,30,35,0,0.8738,0.0268,0.3788,0.5858,-19826.9798,-20055.0745,10062.5373,0.9857,0.9979,0.9678,0.9666,0.8642,"last known convergence"
