"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","V10_r2","status"
"data1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data10",5375.7339,113,117,0,0.0965,0.0114,0.9724,0.9836,41258.4119,40495.9237,-20130.9619,0.8444,0.5239,0.5301,0.9999,0.9833,0.9912,0.9936,0.9993,0.9824,"converged normally"
"data11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data12",5271.9716,113,117,0,0.0956,0.0116,0.9723,0.9835,35588.1406,34825.6524,-17295.8262,0.8338,0.546,0.5287,0.9999,0.9811,0.9897,0.9924,0.9992,0.9792,"converged normally"
"data13",5027.0051,113,117,0,0.0933,0.0122,0.9739,0.9845,37054.5093,36292.0211,-18029.0105,0.8771,0.5299,0.5298,0.9999,0.9805,0.9922,0.9929,0.9992,0.9793,"converged normally"
"data14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data17",5052.7616,113,117,0,0.0935,0.0117,0.9739,0.9845,39307.8107,38545.3225,-19155.6613,0.8668,0.532,0.5129,0.9999,0.9836,0.9928,0.9927,0.9992,0.9827,"converged normally"
"data18",5385.8765,113,117,0,0.0966,0.0124,0.9721,0.9834,38727.0581,37964.5699,-18865.2849,0.8276,0.5523,0.5404,0.9999,0.985,0.9904,0.9926,0.9992,0.9836,"converged normally"
"data19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data2",5470.1721,113,117,0,0.0974,0.012,0.972,0.9834,40987.8679,40225.3797,-19995.6899,0.8725,0.5236,0.5223,0.9999,0.9847,0.9913,0.9935,0.9993,0.983,"converged normally"
"data20",5223.583,113,117,0,0.0951,0.0127,0.9726,0.9837,37620.4272,36857.939,-18311.9695,0.8378,0.5176,0.5151,0.9999,0.9809,0.992,0.9924,0.9992,0.9794,"converged normally"
"data21",5395.4165,113,117,0,0.0967,0.0116,0.972,0.9834,37860.6793,37098.1911,-18432.0955,0.8336,0.5507,0.5546,0.9999,0.9824,0.9909,0.993,0.9993,0.9811,"converged normally"
"data22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data23",5492.8028,113,117,0,0.0976,0.0128,0.9718,0.9832,40278.1063,39515.6181,-19640.809,0.8742,0.5255,0.519,0.9999,0.9822,0.9908,0.9934,0.9993,0.9816,"converged normally"
"data24",5148.3622,113,117,0,0.0944,0.0116,0.9738,0.9844,38502.5671,37740.0789,-18753.0395,0.8698,0.4943,0.5076,0.9999,0.9829,0.9892,0.9943,0.9994,0.9822,"converged normally"
"data25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data27",5184.0817,113,117,0,0.0947,0.0114,0.9732,0.984,40162.0961,39399.6079,-19582.804,0.8517,0.5156,0.5116,0.9999,0.9836,0.9927,0.9929,0.9992,0.9819,"converged normally"
"data28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data3",5352.9088,113,117,0,0.0963,0.0115,0.9729,0.9839,39817.3947,39054.9065,-19410.4533,0.8984,0.535,0.5441,0.9999,0.983,0.9875,0.9947,0.9994,0.9804,"converged normally"
"data30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data31",5294.2002,113,117,0,0.0958,0.0103,0.9729,0.9839,40299.1571,39536.6689,-19651.3345,0.871,0.5283,0.5311,0.9999,0.9833,0.9918,0.9937,0.9993,0.9817,"converged normally"
"data32",5168.8806,113,117,0,0.0946,0.0118,0.9733,0.9841,37497.2302,36734.742,-18250.371,0.8913,0.5107,0.5129,0.9999,0.9821,0.9899,0.9936,0.9993,0.9805,"converged normally"
"data33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data34",5303.1726,113,117,0,0.0959,0.012,0.9728,0.9838,39356.2084,38593.7202,-19179.8601,0.867,0.5149,0.526,0.9999,0.9794,0.9902,0.9939,0.9994,0.9778,"converged normally"
"data35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data36",5410.245,113,117,0,0.0968,0.0113,0.9722,0.9834,35505.7912,34743.303,-17254.6515,0.8276,0.5336,0.5367,0.9999,0.9779,0.9883,0.994,0.9994,0.9765,"converged normally"
"data37",5357.4991,113,117,0,0.0964,0.0121,0.9719,0.9833,35003.4408,34240.9526,-17003.4763,0.8567,0.5112,0.499,0.9999,0.9801,0.9889,0.9926,0.9993,0.9782,"converged normally"
"data38",5334.2364,113,117,0,0.0961,0.0117,0.9722,0.9835,36864.1227,36101.6345,-17933.8173,0.7985,0.5364,0.5374,0.9999,0.977,0.9908,0.9934,0.9993,0.9742,"converged normally"
